TransactionAmount,TransactionDate,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,AgeGroup,Target
14.09,680,1,36,0,70.0,0,81.0,1.0,5112.21,106,60+,2
376.24,1178,1,15,0,68.0,0,141.0,1.0,13758.91,193,60+,1
126.29,1262,1,23,2,19.0,3,56.0,1.0,1122.35,42,18-30,0
184.5,818,1,33,2,26.0,3,25.0,1.0,8569.06,164,18-30,1
13.45,1939,0,1,2,45.0,3,198.0,1.0,7429.4,17,40-50,1
92.15,635,1,28,0,18.0,3,172.0,1.0,781.68,14,<18,0
7.08,306,0,39,0,37.0,0,139.0,1.0,13316.71,227,30-40,1
171.42,837,0,16,1,67.0,2,291.0,1.0,2796.24,272,60+,2
106.23,557,0,11,1,51.0,1,86.0,1.0,9095.14,291,50-60,1
815.96,610,1,26,0,55.0,0,120.0,1.0,1021.88,10,50-60,2
17.78,516,0,0,2,52.0,1,59.0,1.0,7599.52,23,50-60,1
190.02,234,1,22,2,21.0,3,173.0,1.0,1528.81,50,18-30,0
494.52,1037,0,23,1,24.0,3,111.0,1.0,1620.02,136,18-30,0
781.76,2173,1,22,0,26.0,3,123.0,1.0,189.69,44,18-30,0
166.99,283,1,21,2,18.0,3,134.0,1.0,299.93,227,<18,0
465.45,2354,1,10,0,36.0,1,129.0,1.0,3465.54,356,30-40,0
555.8,2031,0,2,1,19.0,3,158.0,1.0,1131.26,73,18-30,0
492.93,2367,1,8,2,39.0,1,234.0,1.0,5109.97,328,30-40,0
18.68,353,0,0,1,59.0,2,106.0,1.0,7948.37,338,50-60,2
71.48,1050,0,8,2,18.0,3,169.0,1.0,6568.59,178,<18,0
59.32,413,1,20,1,71.0,2,38.0,1.0,5750.89,182,60+,2
85.77,1479,1,19,1,38.0,0,93.0,1.0,9146.19,111,30-40,1
52.2,1029,1,1,2,39.0,1,120.0,1.0,8974.93,39,30-40,1
345.84,802,1,13,2,22.0,3,142.0,3.0,1402.5,42,18-30,0
145.54,436,1,33,2,21.0,3,96.0,1.0,1930.96,47,18-30,0
7.49,1979,0,15,2,65.0,2,276.0,1.0,3634.67,202,60+,2
246.93,707,1,24,0,23.0,3,158.0,5.0,673.35,315,18-30,0
40.32,601,1,25,1,37.0,1,95.0,1.0,2686.52,336,30-40,0
127.45,160,1,19,2,44.0,0,197.0,1.0,1772.06,299,40-50,0
56.17,1753,1,11,1,27.0,3,283.0,1.0,1351.69,128,18-30,0
28.31,1296,0,24,2,59.0,0,20.0,1.0,8334.47,175,50-60,2
59.12,224,1,3,0,29.0,0,257.0,1.0,9823.64,36,18-30,1
396.45,1783,1,27,0,49.0,1,168.0,3.0,9690.15,290,40-50,1
877.81,505,1,20,2,22.0,3,150.0,1.0,399.0,88,18-30,0
255.26,2019,0,37,1,45.0,0,50.0,1.0,14815.87,268,40-50,1
124.76,1924,1,39,1,49.0,1,45.0,1.0,5764.72,1,40-50,2
78.13,2190,1,25,1,26.0,3,145.0,1.0,900.61,355,18-30,0
649.28,439,1,38,0,75.0,2,137.0,1.0,4875.86,292,60+,2
795.31,1904,1,23,0,66.0,0,90.0,2.0,7914.88,294,60+,2
335.63,161,1,28,2,55.0,2,216.0,1.0,1019.39,70,50-60,2
328.47,1393,1,35,0,63.0,2,119.0,1.0,4323.66,69,60+,2
34.02,53,1,30,2,38.0,0,19.0,1.0,14214.48,322,30-40,1
241.42,735,0,5,2,57.0,0,116.0,1.0,13357.02,161,50-60,1
55.32,684,1,40,0,19.0,3,117.0,1.0,241.79,101,18-30,0
304.31,1358,1,21,1,27.0,3,33.0,1.0,868.61,211,18-30,0
435.27,1854,1,6,1,74.0,2,90.0,1.0,4673.28,289,60+,2
164.49,2359,1,3,1,26.0,3,75.0,1.0,1509.27,251,18-30,0
510.24,1869,1,28,2,19.0,3,105.0,1.0,781.7,312,18-30,0
626.9,2233,1,10,2,26.0,3,138.0,1.0,265.51,62,18-30,0
22.01,578,0,34,2,41.0,1,175.0,1.0,1335.09,9,40-50,0
425.34,284,0,18,2,69.0,2,121.0,1.0,3907.54,45,60+,2
424.56,355,1,29,2,51.0,1,264.0,1.0,5183.85,0,50-60,2
85.43,1033,1,41,1,67.0,0,145.0,1.0,14904.9,23,60+,1
169.5,1666,1,36,1,28.0,3,142.0,1.0,918.88,156,18-30,0
104.63,603,1,29,0,62.0,2,90.0,1.0,4477.78,259,60+,2
316.95,1415,1,23,1,25.0,3,83.0,1.0,1324.03,173,18-30,0
60.54,2366,0,8,1,57.0,2,52.0,1.0,3534.93,215,50-60,2
292.56,446,0,9,1,68.0,2,61.0,1.0,4638.37,87,60+,2
386.52,1054,1,16,1,48.0,1,28.0,1.0,5630.61,47,40-50,2
112.07,1833,1,18,1,23.0,3,51.0,1.0,930.3,314,18-30,0
568.52,1864,1,16,0,46.0,1,152.0,1.0,5499.91,0,40-50,2
263.99,885,1,9,1,79.0,2,227.0,2.0,4175.02,280,60+,2
349.64,2091,1,19,2,48.0,1,226.0,1.0,6651.62,107,40-50,1
601.4,984,0,30,1,56.0,1,104.0,1.0,8458.29,99,50-60,1
5.77,2057,1,5,2,50.0,0,124.0,1.0,13988.12,309,40-50,1
201.33,602,0,26,1,42.0,1,186.0,1.0,2585.07,318,40-50,0
298.42,756,1,16,1,56.0,2,225.0,1.0,3014.75,230,50-60,2
